Graph Name,No of sources of Evidences,Controller,Average-Case Controller to Switch
ION.GRAPHML,3,110,0.08
ION.GRAPHML,3,67,0.16
ION.GRAPHML,3,20,0.1
ION.GRAPHML,3,0,0.01
ION.GRAPHML,3,59,0.13
ION.GRAPHML,3,19,0.01
ION.GRAPHML,3,28,0.11
ION.GRAPHML,3,112,0.02
ION.GRAPHML,4,5,0.10101010101010101
ION.GRAPHML,4,33,0.030303030303030304
ION.GRAPHML,4,29,0.050505050505050504
ION.GRAPHML,4,2,0.010101010101010102
ION.GRAPHML,4,74,0.010101010101010102
ION.GRAPHML,4,9,0.1717171717171717
ION.GRAPHML,4,1,0.04040404040404041
ION.GRAPHML,4,105,0.010101010101010102
ION.GRAPHML,4,15,0.010101010101010102
ION.GRAPHML,4,14,0.010101010101010102
ION.GRAPHML,4,72,0.1919191919191919
ION.GRAPHML,4,26,0.12121212121212122
ION.GRAPHML,4,22,0.1414141414141414
ION.GRAPHML,4,32,0.010101010101010102
ION.GRAPHML,4,10,0.1111111111111111
ION.GRAPHML,4,8,0.010101010101010102
ION.GRAPHML,4,48,0.09090909090909091
ION.GRAPHML,4,18,0.1111111111111111
ION.GRAPHML,4,110,0.08080808080808081
ION.GRAPHML,4,20,0.10101010101010101
ION.GRAPHML,4,67,0.16161616161616163
ION.GRAPHML,4,59,0.13131313131313133
ION.GRAPHML,4,19,0.010101010101010102
ION.GRAPHML,4,28,0.12121212121212122
ION.GRAPHML,4,112,0.020202020202020204
ION.GRAPHML,4,49,0.030303030303030304
JANETBACKBONE.GRAPHML,2,13,0.16666666666666666
JANETBACKBONE.GRAPHML,2,12,0.375
JANETBACKBONE.GRAPHML,2,17,0.2916666666666667
JANETBACKBONE.GRAPHML,2,14,0.125
JANETBACKBONE.GRAPHML,2,11,0.125
JANETBACKBONE.GRAPHML,3,14,0.38095238095238093
