Graph Name,No of sources of Evidences,Controller,Sorted-Case Controller to Ranks
ULAKNET.GRAPHML,3,37,0.013157894736842105
ULAKNET.GRAPHML,4,74,1.7
ULAKNET.GRAPHML,4,75,0.1
UNINETT2010.GRAPHML,2,67,0.5303030303030303
UNINETT2010.GRAPHML,2,66,0.4393939393939394
UNINETT2010.GRAPHML,2,3,0.3484848484848485
UNINETT2010.GRAPHML,3,0,0.38333333333333336
UNINETT2010.GRAPHML,3,17,0.2833333333333333
UNINETT2010.GRAPHML,3,26,0.11666666666666667
UNINETT2010.GRAPHML,4,0,0.2542372881355932
UNINETT2010.GRAPHML,4,66,0.23728813559322035
UNINETT2010.GRAPHML,4,17,0.22033898305084745
USCARRIER,2,57,0.7697841726618705
USCARRIER,2,77,0.7482014388489209
USCARRIER,2,135,0.2517985611510791
USCARRIER,3,57,0.84251968503937
USCARRIER,3,76,0.3937007874015748
USCARRIER,3,6,0.2440944881889764
USCARRIER,4,57,0.84251968503937
USCARRIER,4,76,0.3937007874015748
USCARRIER,4,6,0.2440944881889764
USCARRIER.GRAPHML,2,57,0.7697841726618705
USCARRIER.GRAPHML,2,77,0.7482014388489209
USCARRIER.GRAPHML,2,135,0.2517985611510791
USCARRIER.GRAPHML,3,57,0.84251968503937
USCARRIER.GRAPHML,3,76,0.3937007874015748
USCARRIER.GRAPHML,3,6,0.2440944881889764
USCARRIER.GRAPHML,4,57,0.84251968503937
USCARRIER.GRAPHML,4,76,0.3937007874015748
USCARRIER.GRAPHML,4,6,0.2440944881889764
UUNET.GRAPHML,2,4,0.5384615384615384
UUNET.GRAPHML,2,9,0.20512820512820512
UUNET.GRAPHML,2,43,0.1794871794871795
UUNET.GRAPHML,3,34,0.32432432432432434
UUNET.GRAPHML,3,41,0.24324324324324326
UUNET.GRAPHML,3,44,0.16216216216216217
UUNET.GRAPHML,4,37,0.40540540540540543
UUNET.GRAPHML,4,39,0.32432432432432434
UUNET.GRAPHML,4,34,0.21621621621621623
